EH[3] Te[3] dEH[3] EH[3] Te[3] dEH[3]





One-dimensional model
Timestep=  12000
j, (j+.5)*DNHI, y1H[j], y1He[j], EH[j], Te[j], EHII[j], THII[j], dEH[j], tauHIIe[j]
  81 2.03750E+18 0.000000 0.000000 0.413888 20176.6 0.000000     0.0 0.0000000000000000000000000000000037285058197610917514843896082398702002026382242696552638656106548011 0.0000000000000007520629996078693621978174727558381871219723860746975141466919012600556015968322753906
  82 2.06250E+18 0.000000 0.000000 0.414156 20189.6 0.000000     0.0 0.0000000000000000000000000000000038293929380188677146592715545333098018737806593559379159025861693961 0.0000000000000007520629996081221921179408070394726461271455190613077768091443431330844759941101074219
  83 2.08750E+18 0.000000 0.000000 0.414416 20202.3 0.000000     0.0 0.0000000000000000000000000000000039331072013655632665296886342292625635622274001458968209858752604605 0.0000000000000007520629996083686125432092206021881348377257294098019446693115241941995918750762939453
  84 2.11250E+18 0.000000 0.000000 0.414671 20214.7 0.000000     0.0 0.0000000000000000000000000000000040397281591195947209176656170665761673196900331777305566461590366613 0.0000000000000007520629996086085248660095608175089767876423567719013085763890558155253529548645019531
  85 2.13750E+18 0.000000 0.000000 0.414919 20226.8 0.000000     0.0 0.0000000000000000000000000000000041493376266563395376662623084140873711073844562440364627342532225899 0.0000000000000007520629996088421263015681329383865249090367218441632868319857152528129518032073974609
  86 2.16250E+18 0.000000 0.000000 0.415160 20238.6 0.000000     0.0 0.0000000000000000000000000000000042620197501102622625709550373464861669705691860415452393790173055100 0.0000000000000007520629996090698112803375474707234850661914660197027160393190570175647735595703125000
  87 2.18750E+18 0.000000 0.000000 0.415397 20250.1 0.000000     0.0 0.0000000000000000000000000000000043778610729353483409580187205322774244907931478846685396626790702062 0.0000000000000007520629996092916784099309570409955337251772496467983053491934697376564145088195800781
  88 2.21250E+18 0.000000 0.000000 0.415627 20261.3 0.000000     0.0 0.0000000000000000000000000000000044969506043742104422937088842368448472340190346856317840729722626212 0.0000000000000007520629996095081221208009721551053767502767141185648913648265079245902597904205322266
  89 2.23750E+18 0.000000 0.000000 0.415852 20272.3 0.000000     0.0 0.0000000000000000000000000000000046193798898950509448812278740224970457912178775875929863739296599706 0.0000000000000007520629996097189451977212875601016612093485387384450557846093943226151168346405029297
  90 2.26250E+18 0.000000 0.000000 0.416072 20283.0 0.000000     0.0 0.0000000000000000000000000000000047452430836465831587949795148497877678100696469582657455310287482092 0.0000000000000007520629996099248378939839716413141223648873459443897626641728493268601596355438232422
  91 2.28750E+18 0.000000 0.000000 0.416286 20293.5 0.000000     0.0 0.0000000000000000000000000000000048746370229971760092571909491439186420603945017371949622956573146757 0.0000000000000007520629996101257016019758717722670837508224753881203028527124843094497919082641601562
  92 2.31250E+18 0.000000 0.000000 0.416496 20303.7 0.000000     0.0 0.0000000000000000000000000000000050076613052103090191271783615782112112051627659910358372483861449422 0.0000000000000007520629996103216349293101405794362218332245874179153855010326878982596099376678466797
  93 2.33750E+18 0.000000 0.000000 0.416701 20313.7 0.000000     0.0 0.0000000000000000000000000000000051444183663228664246259277885434256335712462915033217114009205921883 0.0000000000000007520629996105129336988262359422485660103056630786111380615466259769164025783538818359
  94 2.36250E+18 0.000000 0.000000 0.416901 20323.4 0.000000     0.0 0.0000000000000000000000000000000052850135622860028240211336907573062633396506538326248447004214245484 0.0000000000000007520629996106995979105241578607041162820657023702075605342542985454201698303222656250
  95 2.38750E+18 0.000000 0.000000 0.417097 20333.0 0.000000     0.0 0.0000000000000000000000000000000054295552524374738845539146157903152831211925741371311355629833391175 0.0000000000000007520629996108822192100828220936569314449286673823769078239820373710244894027709960938
  96 2.41250E+18 0.000000 0.000000 0.417288 20342.3 0.000000     0.0 0.0000000000000000000000000000000055781548853678152056969943034408205985354406934439565753946244494795 0.0000000000000007520629996110605017746627707616799821006825770702830524783166765701025724411010742188
  97 2.43750E+18 0.000000 0.000000 0.417475 20351.4 0.000000     0.0 0.0000000000000000000000000000000057309270872536056576549960831718089889078787682653454952036699819283 0.0000000000000007520629996112345442118771564912489447153980917822047036480626047705300152301788330078
  98 2.46250E+18 0.000000 0.000000 0.417659 20360.4 0.000000     0.0 0.0000000000000000000000000000000058879897527245342445484096029576464240787481830505876853359652648096 0.0000000000000007520629996114047409521785897882665251533578529112566979364373764838092029094696044922
  99 2.48750E+18 0.000000 0.000000 0.417838 20369.1 0.000000     0.0 0.0000000000000000000000000000000060494641383396320226324016068302461430428738090709880458232604541530 0.0000000000000007520629996115710919955670706527327234145618604574390353434409917099401354789733886719
 100 2.51250E+18 0.000000 0.000000 0.418013 20377.7 0.000000     0.0 0.0000000000000000000000000000000062154749587483898234786788695088463782409623984997351872957955573144 0.0000000000000007520629996117336959496557517111232159650807747690304250198778390767984092235565185547
 101 2.53750E+18 0.000000 0.000000 0.418185 20386.0 0.000000     0.0 0.0000000000000000000000000000000063861504856114110313673942756318444528153275419692259052416677227412 0.0000000000000007520629996118928486372840908428650322031265768908669944181610844680108129978179931641
 102 2.56250E+18 0.000000 0.000000 0.418353 20394.2 0.000000     0.0 0.0000000000000000000000000000000065616226493605151652493234163605499676950374466298400364144219152927 0.0000000000000007520629996120484514508389354214824956626286064746700343874863392557017505168914794922
 103 2.58750E+18 0.000000 0.000000 0.418518 20402.3 0.000000     0.0 0.0000000000000000000000000000000067420271438799131112308718125215664428957740139017141186703628725716 0.0000000000000007520629996122008002131597433264026357417988445652756723802667693234980106353759765625
 104 2.61250E+18 0.000000 0.000000 0.418679 20410.1 0.000000     0.0 0.0000000000000000000000000000000069275035341957067302746377022195367628689394010312614142102432696191 0.0000000000000007520629996123495991014070566781984230424253101178477809440892087877728044986724853516
