InverseMatrix00,   InverseMatrix01,   InverseMatrix02,   InverseMatrix03,   InverseMatrix04





One-dimensional model
Timestep=  12000
j, (j+.5)*DNHI,     y1H[j],     y1He[j],     EH[j],     Te[j],     EHII[j],     THII[j],     EHI[j],     THI[j],     EHeI[j],     THeI[j],     EHeII[j],     THeII[j],     dEH[j]
  69 1.73750E+18 0.000000000000000 0.622747 0.124635 12732.187510642330381 0.121025 12731.810951408519031 0.000000 10581.497036047667279 0.006025 12884.151739727069071 0.003607 12732.187155822655768 0.0000000000
  70 1.76250E+18 0.000000000000000 0.625982 0.124551 12726.758347450819201 0.120973 12726.379969238911144 0.000000 10575.214123897125319 0.006054 12879.467887555647394 0.003575 12726.757990768488526 0.0000000000
  71 1.78750E+18 0.000000000000000 0.629206 0.124468 12721.408466507949925 0.120922 12721.028275366148591 0.000000 10568.971264641491871 0.006083 12874.861151261115083 0.003542 12721.408107966542957 0.0000000000
  72 1.81250E+18 0.000000000000000 0.632418 0.124386 12716.138019816302403 0.120872 12715.756021904129739 0.000000 10562.768608613390825 0.006112 12870.331635909706165 0.003510 12716.137659419480769 0.0000000000
  73 1.83750E+18 0.000000000000000 0.635619 0.124305 12710.943263266692156 0.120823 12710.559464969774126 0.000000 10556.603001827486878 0.006141 12865.875499980693348 0.003478 12710.942901018450357 0.0000000000
  74 1.86250E+18 0.000000000000000 0.638807 0.124224 12705.831528322332815 0.120774 12705.445935915282462 0.000000 10550.480673937707252 0.006170 12861.500125677312099 0.003446 12705.831164226405235 0.0000000000
  75 1.88750E+18 0.000000000000000 0.641982 0.124145 12700.798679839592296 0.120726 12700.411299828661868 0.000000 10544.398134892469898 0.006198 12857.201277560770905 0.003415 12700.798313900022549 0.0000000000
  76 1.91250E+18 0.000000000000000 0.645146 0.124066 12695.844301223512957 0.120679 12695.455140232124904 0.000000 10538.355043982355710 0.006227 12852.978488948665472 0.003383 12695.843933444499271 0.0000000000
  77 1.93750E+18 0.000000000000000 0.648296 0.123988 12690.967894912562770 0.120633 12690.576959681091466 0.000000 10532.350990469061799 0.006255 12848.831212065490035 0.003352 12690.967525298430701 0.0000000000
  78 1.96250E+18 0.000000000000000 0.651433 0.123912 12686.168900866257900 0.120587 12685.776198251307505 0.000000 10526.385509427436773 0.006284 12844.758836902292387 0.003321 12686.168529421474886 0.0000000000
  79 1.98750E+18 0.000000000000000 0.654556 0.123836 12681.446708817546096 0.120542 12681.052245790922825 0.000000 10520.458092648579623 0.006312 12840.760703401861974 0.003290 12681.446335546714181 0.0000000000
  80 2.01250E+18 0.000000000000000 0.657666 0.123761 12676.803655965966755 0.120498 12676.407439519849504 0.000000 10514.570729092098190 0.006340 12836.839140511467122 0.003259 12676.803280873657059 0.0000000000
  81 2.03750E+18 0.000000000000000 0.660763 0.123687 12672.233008419678299 0.120455 12671.835045847459696 0.000000 10508.717719724669223 0.006368 12832.987282683216108 0.003228 12672.232631510947613 0.0000000000
  82 2.06250E+18 0.000000000000000 0.663845 0.123614 12667.737152847757898 0.120412 12667.337451457004136 0.000000 10502.901094854742041 0.006396 12829.207510744417959 0.003198 12667.736774127624813 0.0000000000
  83 2.08750E+18 0.000000000000000 0.666913 0.123541 12663.315383790815758 0.120370 12662.913950997030042 0.000000 10497.120264291721469 0.006423 12825.499072070928378 0.003168 12663.315003264442566 0.0000000000
  84 2.11250E+18 0.000000000000000 0.669966 0.123470 12658.966988708047211 0.120329 12658.563832032345090 0.000000 10491.374632238161212 0.006451 12821.861207781768826 0.003137 12658.966606380718076 0.0000000000
  85 2.13750E+18 0.000000000000000 0.673005 0.123399 12654.693823971794700 0.120288 12654.288950956117333 0.000000 10485.665780570281640 0.006478 12818.295765047831082 0.003107 12654.693439848773778 0.0000000000
  86 2.16250E+18 0.000000000000000 0.676030 0.123329 12650.489950266641245 0.120248 12650.083368720543149 0.000000 10479.988684339219617 0.006506 12814.796686991243405 0.003078 12650.489564353656533 0.0000000000
  87 2.18750E+18 0.000000000000000 0.679039 0.123261 12646.359752822905648 0.120209 12645.951470490377687 0.000000 10474.347069905385069 0.006533 12811.368387014743348 0.003048 12646.359365125481418 0.0000000000
  88 2.21250E+18 0.000000000000000 0.682033 0.123193 12642.297570612578056 0.120170 12641.887595492751643 0.000000 10468.736150070448275 0.006560 12808.005091952632938 0.003019 12642.297181136673316 0.0000000000
  89 2.23750E+18 0.000000000000000 0.685012 0.123125 12638.307538798899259 0.120132 12637.895878826937405 0.000000 10463.159440857923983 0.006587 12804.710964065634471 0.002989 12638.307147550318405 0.0000000000
  90 2.26250E+18 0.000000000000000 0.687975 0.123059 12634.384271114420699 0.120095 12633.970934468068663 0.000000 10457.612390423773832 0.006614 12801.480510249197323 0.002960 12634.383878099348294 0.0000000000
  91 2.28750E+18 0.000000000000000 0.690923 0.122994 12630.531669151052483 0.120058 12630.116663945313121 0.000000 10452.098318889764414 0.006640 12798.317658328409379 0.002932 12630.531274375534849 0.0000000000
  92 2.31250E+18 0.000000000000000 0.693854 0.122929 12626.744614568353427 0.120022 12626.327949148349944 0.000000 10446.612903899227604 0.006667 12795.217188332566366 0.002903 12626.744218038811596 0.0000000000
  93 2.33750E+18 0.000000000000000 0.696770 0.122865 12623.026788155444592 0.119987 12622.608470804532772 0.000000 10441.159280968817257 0.006693 12792.182806654373053 0.002874 12623.026389878152258 0.0000000000
  94 2.36250E+18 0.000000000000000 0.699670 0.122802 12619.375359800009392 0.119952 12618.955398951733514 0.000000 10435.735069715718055 0.006720 12789.211616152966599 0.002846 12619.374959781476718 0.0000000000
  95 2.38750E+18 0.000000000000000 0.702553 0.122740 12615.789700468887531 0.119918 12615.368104632110771 0.000000 10430.339756431367277 0.006746 12786.302953350363168 0.002818 12615.789298715735640 0.0000000000
  96 2.41250E+18 0.000000000000000 0.705420 0.122678 12612.267247995583602 0.119884 12611.844025816933936 0.000000 10424.971191271306452 0.006772 12783.454194359686880 0.002790 12612.266844514666445 0.0000000000
  97 2.43750E+18 0.000000000000000 0.708271 0.122618 12608.811323507259658 0.119852 12608.386483571299323 0.000000 10419.632210687354018 0.006798 12780.668685441283742 0.002762 12608.810918305267478 0.0000000000
  98 2.46250E+18 0.000000000000000 0.711104 0.122558 12605.419345984939355 0.119819 12604.992897009415174 0.000000 10414.320651770634868 0.006823 12777.943785618937909 0.002735 12605.418939068815234 0.0000000000
  99 2.48750E+18 0.000000000000000 0.713921 0.122499 12602.090729045894477 0.119788 12601.662679812558054 0.000000 10409.036043598020115 0.006849 12775.278878596196591 0.002707 12602.090320422648801 0.0000000000
 100 2.51250E+18 0.000000000000000 0.716721 0.122441 12598.824897355663779 0.119757 12598.395256707457520 0.000000 10403.777926367121836 0.006875 12772.673360201291871 0.002680 12598.824487032421530 0.0000000000
 101 2.53750E+18 0.000000000000000 0.719504 0.122383 12595.621285427238035 0.119726 12595.190062265544839 0.000000 10398.545850107715523 0.006900 12770.126637150522583 0.002653 12595.620873411193315 0.0000000000
 102 2.56250E+18 0.000000000000000 0.722270 0.122327 12592.479337517972453 0.119696 12592.046540799839931 0.000000 10393.339374850093009 0.006925 12767.638127260986948 0.002626 12592.478923816415772 0.0000000000
 103 2.58750E+18 0.000000000000000 0.725019 0.122271 12589.398506884994276 0.119667 12588.964145620468116 0.000000 10388.158070377106924 0.006950 12765.207258111258852 0.002600 12589.398091505294360 0.0000000000
 104 2.61250E+18 0.000000000000000 0.727750 0.122216 12586.378255144769355 0.119638 12585.942338394210310 0.000000 10383.001514968091215 0.006975 12762.833466912294170 0.002573 12586.377838094391336 0.0000000000
 105 2.63750E+18 0.000000000000000 0.730464 0.122161 12583.419644711701039 0.119610 12582.982181527713692 0.000000 10377.870644578235442 0.007000 12760.517816763951487 0.002547 12583.419225998071852 0.0000000000
 106 2.66250E+18 0.000000000000000 0.733161 0.122108 12580.518934076822916 0.119583 12580.079933668883314 0.000000 10372.762328573997365 0.007024 12758.256495261248347 0.002521 12580.518513707644161 0.0000000000
 107 2.68750E+18 0.000000000000000 0.735840 0.122055 12577.677237550469727 0.119555 12577.236709114076803 0.000000 10367.677550443242581 0.007049 12756.050619992593056 0.002495 12577.676815533439367 0.0000000000
 108 2.71250E+18 0.000000000000000 0.738501 0.122003 12574.894048213252972 0.119529 12574.452000983779726 0.000000 10362.615922246728587 0.007073 12753.899663715530551 0.002469 12574.893624556110808 0.0000000000
 109 2.73750E+18 0.000000000000000 0.741144 0.121951 12572.170336874636632 0.119503 12571.726780072893234 0.000000 10357.578309267637451 0.007097 12751.804600525305432 0.002444 12572.169911585109730 0.0000000000
 110 2.76250E+18 0.000000000000000 0.743770 0.121901 12569.502634847500303 0.119478 12569.057577834089898 0.000000 10352.561819641452530 0.007121 12749.761898069222298 0.002419 12569.502207933564932 0.0000000000
 111 2.78750E+18 0.000000000000000 0.746377 0.121851 12566.891958561094725 0.119453 12566.445410676136817 0.000000 10347.567360931898293 0.007145 12747.772578565227377 0.002393 12566.891530030687136 0.0000000000
 112 2.81250E+18 0.000000000000000 0.748967 0.121801 12564.339218570008597 0.119429 12563.891189133990338 0.000000 10342.595751639843002 0.007169 12745.837557611937882 0.002369 12564.338788431052308 0.0000000000
 113 2.83750E+18 0.000000000000000 0.751539 0.121753 12561.841124653268707 0.119405 12561.391623114599497 0.000000 10337.644257575762822 0.007192 12743.953486550622983 0.002344 12561.840692913918247 0.0000000000
 114 2.86250E+18 0.000000000000000 0.754092 0.121705 12559.399974490457680 0.119382 12558.949010223892401 0.000000 10332.714874405717637 0.007216 12742.122691352029506 0.002319 12559.399541158727516 0.0000000000
 115 2.88750E+18 0.000000000000000 0.756628 0.121658 12557.013911026419009 0.119359 12556.561493479401179 0.000000 10327.806084399348038 0.007239 12740.343280225157287 0.002295 12557.013476110494594 0.0000000000
 116 2.91250E+18 0.000000000000000 0.759145 0.121612 12554.681160953814469 0.119337 12554.227299642026992 0.000000 10322.916442208514127 0.007262 12738.613446849178217 0.002271 12554.680724461981299 0.0000000000
 117 2.93750E+18 0.000000000000000 0.761644 0.121566 12552.403911441648233 0.119315 12551.948615803796201 0.000000 10318.047854702985205 0.007285 12736.935408066407035 0.002247 12552.403473382093580 0.0000000000
 118 2.96250E+18 0.000000000000000 0.764125 0.121521 12550.180383427457855 0.119294 12549.723662966425763 0.000000 10313.198874752912161 0.007308 12735.307353510848770 0.002223 12550.179943808481767 0.0000000000
 119 2.98750E+18 0.000000000000000 0.766588 0.121477 12548.008871908876245 0.119273 12547.550736187626171 0.000000 10308.368120777940931 0.007330 12733.727548794118775 0.002199 12548.008430738918833 0.0000000000
 120 3.01250E+18 0.000000000000000 0.769032 0.121434 12545.891460918679513 0.119253 12545.431919419976111 0.000000 10303.557415722612859 0.007353 12732.198108634154778 0.002176 12545.891018206049921 0.0000000000
 121 3.03750E+18 0.000000000000000 0.771458 0.121391 12543.826440584703960 0.119234 12543.365502847478638 0.000000 10298.765376456309241 0.007375 12730.717295303378705 0.002153 12543.825996337807737 0.0000000000
